Number.1,Myco,Fertilizer,Percent.Inhibition2,damage..mm2.,damage2,Atesome,log_cat,Biomass,N_Percent1,C_Percent2,S_Percent3,CNRatio
140,No Mycorrhizae,Medium,NA,1,1,1,NA,0.94558,1.164843798,41.88134766,0.615200639,35.9544754
143,No Mycorrhizae,Low,NA,1,1,1,NA,0.20493,1.187202811,36.39609909,1.15598619,30.65701866
144,No Mycorrhizae,Medium,NA,0.5,0.5,1,NA,0.72008,1.422331333,38.88904572,0.846237779,27.34176254
146,No Mycorrhizae,High,NA,1,1,1,NA,0.79835,2.036607742,37.29843903,1.380831838,18.31400299
148,No Mycorrhizae,High,NA,0.5,0.5,1,NA,0.86665,1.123205423,37.47323608,1.151477933,33.36276245
148,No Mycorrhizae,High,NA,0.5,0.5,1,NA,0.86665,1.658950567,37.46557236,0.417448729,22.58389854
150,No Mycorrhizae,High,4.151939,1,1,1,1.423575454,1.33049,1.473285317,52.61866379,0.801885903,35.71519089
153,No Mycorrhizae,Low,NA,NA,0,0,NA,0.24119,1.268608093,39.83285141,1.003357768,31.39886284
155,No Mycorrhizae,Medium,NA,2.5,2.5,1,NA,0.4044,1.683724284,38.73539734,0.996606588,23.00578499
156,No Mycorrhizae,High,8.4261,1,1,1,2.131334032,1.12159,1.581069946,43.30623627,0.822639465,27.39046288
157,No Mycorrhizae,Medium,NA,NA,0,0,NA,0.4356,1.249891281,37.01657104,1.344209433,29.61583328
158,No Mycorrhizae,High,12.928185,10,10,1,2.559409812,0.93653,1.505928278,41.11524582,0.647533774,27.30225945
159,No Mycorrhizae,Low,7.259863,5,5,1,1.982360958,0.39312,1.340022445,40.16078186,0.847426146,29.96289158
160,No Mycorrhizae,High,NA,NA,0,0,NA,0.70551,1.981940329,37.95270729,0.977343053,19.32539558
161,No Mycorrhizae,Medium,15.65178,8,8,1,2.750584649,0.56229,1.185359359,38.57673264,0.743666589,32.54433441
163,No Mycorrhizae,High,NA,NA,0,0,NA,1.01921,1.389334202,39.00914383,0.725454926,28.07758141
166,No Mycorrhizae,Medium,0.348816,2,2,1,-1.053210716,0.49204,1.489997983,37.33073044,1.161066055,25.05421448
171,No Mycorrhizae,Low,60.93073,2,2,1,4.109737645,0.2658,1.046977252,38.13874245,0.989642114,38.6022749
173,No Mycorrhizae,Low,6.235807,16,16,1,1.830308001,0.104,1.310984492,36.12238693,1.38052702,27.55363464
174,No Mycorrhizae,Low,NA,NA,0,0,NA,0.13341,1.487104058,39.43299103,1.293085933,26.51663208
177,No Mycorrhizae,Medium,12.65622,22,22,1,2.538148794,0.42373,1.263023257,40.89021683,1.001091242,32.37487411
178,No Mycorrhizae,Low,NA,1,1,1,NA,0.2097,2.58600086,36.20469475,1.239928782,18.93221092
180,No Mycorrhizae,Medium,14.87643,NA,0,0,2.699778081,0.36597,1.755335689,35.24112701,1.474075317,20.07657433
183,No Mycorrhizae,Low,NA,3,3,1,NA,0.16444,1.540389955,38.21457291,1.032969505,25.31212426
